sn,Post Title,Author,Post Count,View Count,Time,Date,Section
138,Davido Officially Signs 2 Artiste To His Label,naijafengist,15,7723,10:34pm,"Dec 11, 2016",EntertainmentDB
139,Why Olamide And Don Jazzy Should Shut Up And Never Claim Street..,Drabeey,33,11268,4:58am,"Nov 20, 2016",EntertainmentDB
140,Ambode Visited By AFRIMA And Africa Union Delegates,metronaija2,25,5849,1:57pm,"Nov 10, 2016",EntertainmentDB
141,Mtv Music Video Awards 2016 Winners List,Aksmedias,5,4497,11:56am,"Nov 07, 2016",EntertainmentDB
142,"Missy Elliot's Nigerian Dancer Slays The Move To Wizkid's ""Show Me The Money""",okey1234,4,2890,6:45pm,"Nov 02, 2016",EntertainmentDB
143,Ibo People Dancing Azonto,ImperialYoruba,15,2160,12:30pm,"Oct 27, 2016",EntertainmentDB
144,The Proposed Bill To Kill Nollywood!,suyamasta,16,3596,3:01am,"Oct 27, 2016",EntertainmentDB
145,"Photos From Burial Of Chris Jeyibo, Koga Entertainment CEO",chimere66,40,36643,5:04pm,"Oct 24, 2016",EntertainmentDB
146,"Chris Jeyibo ""Chris Koga"" Dies In Ghastly Motor Accident (Photos)",ExAngel007,137,66369,8:13am,"Oct 16, 2016",EntertainmentDB
147,Who Is The Winner #achikolo Dance,okey1234,0,1526,3:56am,"Oct 15, 2016",EntertainmentDB
148,Nigerian Music Industry : Before They Fizzle Out !,ariesbull,3,1642,6:20pm,"Oct 11, 2016",EntertainmentDB
149,"Olamide  - Biography,history And Life Style",nicholasis,9,54586,6:40am,"Oct 07, 2016",EntertainmentDB
150,Hairiest Girl In Nigeria 'queen Nonyerem',Godvilla,78,19638,1:18pm,"Sep 29, 2016",EntertainmentDB
151,Newest Movie On The Market.. Zuckerberg In Lagos (pics),Badgers14,8,2773,6:45pm,"Sep 27, 2016",EntertainmentDB
152,Projectfame2016- See Grand Finale Result,apholaby007,13,2008,2:36pm,"Sep 25, 2016",EntertainmentDB
153,Photo Of 3 Girls In Hijab Dancing Shoki,ObiOmaMu,168,56701,11:36am,"Sep 25, 2016",EntertainmentDB
154,Naija Celebrities Twitter Handles,Nobody,7,5595,1:47pm,"Sep 18, 2016",EntertainmentDB
155,Models Show See This,Rmge,4,3042,9:43am,"Sep 12, 2016",EntertainmentDB
156,Wwe's Rock Wants To Run For The President Of The United States,maximunimpact,16,3187,10:33am,"Sep 11, 2016",EntertainmentDB
157,The Glitz Style Awards 2016 Winners List,tapread,0,1739,5:17am,"Sep 11, 2016",EntertainmentDB
158,wow!!!!  the chances to Join Who Want To Be A Millionaire  Now,Zubby56,0,1500,3:59pm,"Sep 10, 2016",EntertainmentDB
159,Looking For Website To Upload My Song,clemmonce,32,5792,12:16pm,"Sep 08, 2016",EntertainmentDB
160,Beauty Queens Should Be More Innovative – Comrade Itodje Gt.,GtDigital,2,1171,7:27pm,"Sep 06, 2016",EntertainmentDB
161,Common Projects Shoes Circle Forms Around Him,dantetinovalen,0,1061,9:04am,"Sep 04, 2016",EntertainmentDB
162,"MTV Africa Music Awards To Be Held In Johannesburg, October 22",victordan1993,4,1522,4:54am,"Aug 30, 2016",EntertainmentDB
163,World Record Music Video Made With A Phone By A Nigerian,berepiki,6,3081,7:27am,"Aug 27, 2016",EntertainmentDB
164,Highest Paid Actors In 2016,naijanews1,0,3678,7:33pm,"Aug 26, 2016",EntertainmentDB
165,A Nairalander Needs Our Support And Likes To Get In To Maltina Dance All 9,onaka1,2,1179,5:24pm,"Aug 24, 2016",EntertainmentDB
166,Fish Hawker Also Photobombs A Shoot (pics),Sunnybobo3,89,52858,4:23pm,"Aug 17, 2016",EntertainmentDB
167,That1960chick At Olumo Rock: Teefah Goes On Tour With Social Prefect.,nex,3,2007,3:32pm,"Aug 11, 2016",EntertainmentDB
168,Checkout The Art  Work Of Mc Shakara's Upcoming Show,Rotjijatau,3,1830,12:31pm,"Aug 08, 2016",EntertainmentDB
169,Temple Management Company Launches Full-service Talent Agency In Nigeria,nex,4,1693,12:22pm,"Aug 08, 2016",EntertainmentDB
170,Upload Your Music/video For A Cheape Price,flavourway,0,1217,10:14am,"Aug 07, 2016",EntertainmentDB
171,Register Here ! Audition For Mtn Project Fame Season 9,OkoAfusa,5,1770,10:33am,"Aug 06, 2016",EntertainmentDB
172,Nigeria Halts Film Village Plans After Muslim Clerics' Protest,DaFuhrer,2,1356,11:14am,"Aug 02, 2016",EntertainmentDB
173,"Watch Saeon Talk About Men, Exes And Poop On The Bigma Experience.",nex,2,1318,5:07pm,"Jul 29, 2016",EntertainmentDB
174,View And Like New Dance #kolosoke,solojay,0,1148,7:26pm,"Jul 28, 2016",EntertainmentDB
175,"Loudnproudlive Series: Femme Fatal Mc’s ++ Young, Fresh & Fierce GBT Winners...",nex,0,981,8:45am,"Jul 28, 2016",EntertainmentDB
176,New: Audition! Audition!! Audition!!!,afrodisc,5,2088,1:36pm,"Jul 27, 2016",EntertainmentDB
177,origin of dab dance,smemud,4,3396,1:20pm,"Jul 27, 2016",EntertainmentDB
178,WTF? See Photos From A Supposed Nollywood Movie : UNCLAD??,oatzeal,37,13246,5:33pm,"Jul 21, 2016",EntertainmentDB
179,"Queen Nonyerem Okafor, Hairiest Girl In Nigeria Flaunts Her Hairy Bosoms(photos)",okwuosho1,315,82986,4:37pm,"Jul 20, 2016",EntertainmentDB
180,5 Nigerians You Never Knew Won Grammy Awards [+pictures],Nobody,11,4715,2:17am,"Jul 18, 2016",EntertainmentDB
181,Kannywood: Nigeria To Establish World-class Film Village In Kano,giles14,4,1093,1:46pm,"Jul 15, 2016",EntertainmentDB
182,Buying Naruto Costumes At Cosplaydeal.com,Ullaed,2,1161,9:36am,"Jul 15, 2016",EntertainmentDB
183,Nekede Student Wins A Car At Etisalat-Cliqfest In Owerri,Nobody,61,32601,4:43pm,"Jul 12, 2016",EntertainmentDB
184,Who Is Naijasinglegirl?,Nobody,24,3248,4:37pm,"Jul 12, 2016",EntertainmentDB
185,I Cant Stop Watching This Video,Lataability,0,2028,11:07am,"Jul 12, 2016",EntertainmentDB
186,Bose Akanmu Gets Support From Women Over Her Leaked Se*xtape,obynocj,14,14878,1:19am,"Jul 04, 2016",EntertainmentDB
187,"Photos:Nigerian Wrestler Makes History,Breaks Into WWE In USA",chie8,10,5744,4:48pm,"Jul 03, 2016",EntertainmentDB
188,AGN Will Know No Peace Until Those Who Illegally Took N3bn Nollywood Grant Are F,ohhi,0,1022,2:49pm,"Jul 03, 2016",EntertainmentDB
189,Would Captain America Cope In Lagos?,Millz404,9,2664,10:52pm,"Jul 02, 2016",EntertainmentDB
190,How To Download Youtube Video,kamaaiki,20,8585,10:04pm,"Jul 01, 2016",EntertainmentDB
191,Checkout This Hilarious Dance Step In Africa(video),timidapsin,69,26184,9:59pm,"Jun 30, 2016",EntertainmentDB
192,Secrets Behind Magic,sunshine1974,9,2709,7:13pm,"Jun 29, 2016",EntertainmentDB
193,The Africa Magic Viewer’s Choice Award 2016,mayreambarry,5,2595,4:52pm,"Jun 28, 2016",EntertainmentDB
194,If You Sure You Have A Lot Of Airtime Come In Here,Nobody,4,1648,4:42pm,"Jun 28, 2016",EntertainmentDB
195,Audition For The Physically Challenged Talent Competition,IamDaniella,3,1472,4:40pm,"Jun 28, 2016",EntertainmentDB
196,"Meet The Highest Paid Female Por''n Star, Check The Top 5 List",angelcj,9,11866,4:39pm,"Jun 28, 2016",EntertainmentDB
197,Segun Arinze Should Be In Jail –emeka Ike,bobonicez,13,5072,4:38pm,"Jun 28, 2016",EntertainmentDB
198,White Papers Stage Play @ Lagos Airport Hotel Ikeja,Unlimited2013,4,1663,4:38pm,"Jun 28, 2016",EntertainmentDB
199,"Sony Music Entertainment Confirms Deal With Davido, See Details Here",orlaryhincah,14,3111,4:37pm,"Jun 28, 2016",EntertainmentDB
200,Photos Of #AMVCA2016 That Is Trending,Bengist247,8,3228,4:36pm,"Jun 28, 2016",EntertainmentDB
201,New Musical Video 2016,denpen,2,1664,4:34pm,"Jun 28, 2016",EntertainmentDB
202,Phyno – Ezege Prod. By Del B,gistmack,3,1951,4:33pm,"Jun 28, 2016",EntertainmentDB
203,Photospeak: Miss Asaigbo Beauty Pageant Is The Biggest Pageant In Igboland,Asaigbo,2,2951,4:31pm,"Jun 28, 2016",EntertainmentDB
204,Here's What People Really Searched For Most On Google (Nigeria 2015) [pictures],virud,16,6984,4:31pm,"Jun 28, 2016",EntertainmentDB
205,What Is Wrong With This PHOTO?,candiiville,47,10944,4:27pm,"Jun 28, 2016",EntertainmentDB
206,"Coscharis Group CEO, Dr. Cosmas Maduka’s Inspirational Story! (READ)",iamOdino,4,8241,4:09pm,"Jun 28, 2016",EntertainmentDB
207,"Nollywood form is out, contact us",Kelvlin,3,1898,1:40am,"Jun 25, 2016",EntertainmentDB
208,Amazing!!! White Girl Sings Igbo Gospel Without An Accent,medpren,10,2882,2:27pm,"Jun 17, 2016",EntertainmentDB
209,What Is Wrong With This Picture????? W4!!! Fashion Or Pricksion???,Kagawa,27,13654,10:39pm,"May 21, 2016",EntertainmentDB
210,Who Is You Favorite Artist,ZUBIKSBLOG,23,3555,11:54am,"May 19, 2016",EntertainmentDB
211,Nigerian Artist Causes Stir By Dressing Like A Masquarade 2 Hotel In Israel(Pics,ebosie11,12,3635,4:25pm,"May 11, 2016",EntertainmentDB
